year,commune,department,region,type_of_flag,places
2020,BASSIN DE PLAISANCE DE OUISTREHAM,Calvados (14),Normandie,port,BASSIN DE PLAISANCE DE OUISTREHAM
2020,BONIFACIO MARINA,Corse-Du-Sud (2A),Corse,port,BONIFACIO MARINA
2020,CALANQUE DE PORT MIOU,Bouches-Du-Rhône (13),Provence-Alpes-Côte D’Azur,port,CALANQUE DE PORT MIOU
2020,CNTL DE MARSEILLE,Bouches-Du-Rhône (13),Provence-Alpes-Côte D’Azur,port,CNTL DE MARSEILLE
2020,HALTE DE BESANÇON,Doubs (25),Bourgogne-Franche-Comté,port,HALTE DE BESANÇON
2020,HALTE DE DELUZ,Doubs (25),Bourgogne-Franche-Comté,port,HALTE DE DELUZ
2020,HALTE FLUVIALE DE REVIN,Ardennes (08),Grand-Est,port,HALTE FLUVIALE DE REVIN
2020,NAUTIC’HAM,Moselle (57),Grand-Est,port,NAUTIC’HAM
2020,NOUVEAU PORT DES LECQUES,Var (83),Provence-Alpes-Côte D’Azur,port,NOUVEAU PORT DES LECQUES
2020,PORT CAMARGUE DU GRAU DU ROI,Gard (30),Occitanie,port,PORT CAMARGUE DU GRAU DU ROI
2020,PORT CAMILLE RAYON DU GOLFE JUAN,Alpes-Maritimes (06),Provence-Alpes-Côte D’Azur,port,PORT CAMILLE RAYON DU GOLFE JUAN
2020,PORT D’ARGELÈS-SUR-MER,Pyrénées-Orientales (66),Occitanie,port,PORT D’ARGELÈS-SUR-MER
2020,PORT DE BARNEVILLE CARTERET,Manche (50),Normandie,port,PORT DE BARNEVILLE CARTERET
2020,PORT DE BELLEGARDE,Gard (30),Occitanie,port,PORT DE BELLEGARDE
2020,PORT DE BORMES LES MIMOSAS,Var (83),Provence-Alpes-Côte D’Azur,port,PORT DE BORMES LES MIMOSAS
2020,PORT DE BOUZIGUES,Hérault (34),Occitanie,port,PORT DE BOUZIGUES
2020,PORT DE CARCASSONNE,Aude (11),Occitanie,port,PORT DE CARCASSONNE
2020,PORT DE CASTELNAUDARY,Aude (11),Occitanie,port,PORT DE CASTELNAUDARY
2020,PORT DE CHANTEREYNE DE CHERBOURG,Manche (50),Normandie,port,PORT DE CHANTEREYNE DE CHERBOURG
2020,PORT DE COLMAR,Haut-Rhin (68),Grand-Est,port,PORT DE COLMAR
2020,PORT DE DECIZE,Nièvre (58),Bourgogne-Franche-Comté,port,PORT DE DECIZE
2020,PORT DE DIÉLETTE,Manche (50),Normandie,port,PORT DE DIÉLETTE
2020,PORT DE DIEPPE,Seine-Maritime (76),Normandie,port,PORT DE DIEPPE
2020,PORT DE DIVES-CABOURG-HOULGATE,Calvados (14),Normandie,port,PORT DE DIVES-CABOURG-HOULGATE
2020,PORT DE FRANCE,Meurthe-Et-Moselle (54),Grand-Est,port,PORT DE FRANCE
2020,PORT DE GARAVAN,Alpes-Maritimes (06),Provence-Alpes-Côte D’Azur,port,PORT DE GARAVAN
2020,PORT DE GÂVRES,Morbihan (56),Bretagne,port,PORT DE GÂVRES
2020,PORT DE GUIDEL,Morbihan (56),Bretagne,port,PORT DE GUIDEL
2020,PORT DE L’ÉPERVIÈRE,Drôme (26),Auvergne-Rhône-Alpes,port,PORT DE L’ÉPERVIÈRE
2020,PORT DE LA COUDOULIÈRE,Var (83),Provence-Alpes-Côte D’Azur,port,PORT DE LA COUDOULIÈRE
2020,PORT DE LA GRANDE MOTTE,Hérault (34),Occitanie,port,PORT DE LA GRANDE MOTTE
2020,PORT DE LA MADRAGUE,Var (83),Provence-Alpes-Côte D’Azur,port,PORT DE LA MADRAGUE
2020,PORT DE LA NAPOULE,Alpes-Maritimes (06),Provence-Alpes-Côte D’Azur,port,PORT DE LA NAPOULE
2020,PORT DE LEUCATE,Aude (11),Occitanie,port,PORT DE LEUCATE
2020,PORT DE LORIENT CENTRE,Morbihan (56),Bretagne,port,PORT DE LORIENT CENTRE
2020,PORT DE MARINA BAIE DES ANGES,Alpes-Maritimes (06),Provence-Alpes-Côte D’Azur,port,PORT DE MARINA BAIE DES ANGES
2020,PORT DE NEMOURS,Haute-Marne (52),Grand-Est,port,PORT DE NEMOURS
2020,PORT DE PALAVAS LES FLOTS,Hérault (34),Occitanie,port,PORT DE PALAVAS LES FLOTS
2020,PORT DE PLAISANCE AJACCIO TINO ROSSI,Corse-Du-Sud (2A),Corse,port,PORT DE PLAISANCE AJACCIO TINO ROSSI
2020,PORT DE PLAISANCE CLAUDE ROSSI - POINTE SAINT GERVAIS,Bouches-Du-Rhône (13),Provence-Alpes-Côte D’Azur,port,PORT DE PLAISANCE CLAUDE ROSSI - POINTE SAINT GERVAIS
