year,commune,department_name,department_number,region,beach_flag,port_flag,places
2023,MALAFRETAZ,AIN,1,AUVERGNE-RHÔNE-ALPES,1,0,Plage principale
2023,VIEURE,ALLIER,3,AUVERGNE-RHÔNE-ALPES,1,0,Plage du plan d'eau de Vieure
2023,UBAYE SERRE-PONÇON,ALPES-DE-HAUTE-PROVENCE,4,PROVENCE-ALPES-CÔTE D'AZUR,1,0,Plage de Saint Vincent les forts
2023,ANTIBES,ALPES-MARITIMES,6,PROVENCE-ALPES-CÔTE D'AZUR,1,0,"Antibes-les-Pins Est, Antibes-les-Pins Ouest, Fontonne Est, Fontonne Ouest, Fort Carré, Les Groules, Marineland"
2023,CANNES,ALPES-MARITIMES,6,PROVENCE-ALPES-CÔTE D'AZUR,1,1,"Chantiers navals, Trou (Roubine), Font de Veyre, Ile Sainte Marguerite Est, Ile Sainte Marguerite Ouest, Rochers de la Bocca, Saint Georges, Marina du Vieux Port de Cannes, PORT Pierre Canto"
2023,CAP D'AIL,ALPES-MARITIMES,6,PROVENCE-ALPES-CÔTE D'AZUR,0,1,PORT de plaisance de Cap d'Ail
2023,GOLFE JUAN,ALPES-MARITIMES,6,PROVENCE-ALPES-CÔTE D'AZUR,0,1,PORT Camille Rayon du Golfe Juan
2023,MANDELIEU-LA-NAPOULE,ALPES-MARITIMES,6,PROVENCE-ALPES-CÔTE D'AZUR,0,1,PORT de La Napoule
2023,NICE,ALPES-MARITIMES,6,PROVENCE-ALPES-CÔTE D'AZUR,1,0,Saint Hélène
2023,VILLENEUVE-LOUBET,ALPES-MARITIMES,6,PROVENCE-ALPES-CÔTE D'AZUR,0,1,PORT de Marina Baie des Anges
2023,SAINT-MARTIN-D'ARDÈCHE,ARDÈCHE,7,AUVERGNE-RHÔNE-ALPES,1,0,Plage du Grain de sel
2023,MONTHERMÉ,ARDENNES,8,GRAND EST,0,1,Port de plaisance Intercommunal de Monthermé
2023,REVIN,ARDENNES,8,GRAND EST,0,1,Halte Fluviale de Revin
2023,CARCASSONNE,AUDE,11,OCCITANIE,0,1,PORT de Carcassonne
2023,CASTELNAUDARY,AUDE,11,OCCITANIE,0,1,PORT de Castelnaudary
2023,FLEURY,AUDE,11,OCCITANIE,1,0,"d'Aude Les Cabanes de Fleury, Saint-Pierre-La-Mer"
2023,GRUISSAN,AUDE,11,OCCITANIE,1,1,"Grazel, Les Chalets, PORT de Plaisance de Gruissan"
2023,LEUCATE,AUDE,11,OCCITANIE,1,1,"La Franqui, Leucate Plage, Naturistes (Port Leucate), Le Kyklos, Copacabana (Port Leucate), PORT de Leucate"
2023,NARBONNE,AUDE,11,OCCITANIE,0,1,PORT de Plaisance de Narbonne
2023,NARBONNE-PLAGE,AUDE,11,OCCITANIE,1,0,"Plage du Centre, Plage des Karantes, Plage du Languedoc, Plage du Créneau Naturel"
2023,PORT-LA-NOUVELLE,AUDE,11,OCCITANIE,1,0,Plage du Front de Mer
2023,SALLES-CURAN,AVEYRON,12,OCCITANIE,1,0,"Plage des Vernhes 1, Plage des Vernhes 2"
2023,SAVERNE,BAS-RHIN,67,GRAND EST,0,1,Port de Plaisance de Saverne
2023,BERRE L'ETANG,BOUCHES-DU-RHÔNE,13,PROVENCE-ALPES-CÔTE D'AZUR,1,0,Plage de Champigny - quartier des Merveilles
2023,CASSIS,BOUCHES-DU-RHÔNE,13,PROVENCE-ALPES-CÔTE D'AZUR,1,1,"Plage du Bestouan, Plage de la Grande Mer, Calanque de Port-Miou, Port Départemental de Cassis"
2023,FOS-SUR-MER,BOUCHES-DU-RHÔNE,13,PROVENCE-ALPES-CÔTE D'AZUR,1,1,"Cavaou, Grande Plage, Port de Plaisance Claude Rossi - Pointe Saint Gervais"
2023,LA CIOTAT,BOUCHES-DU-RHÔNE,13,PROVENCE-ALPES-CÔTE D'AZUR,1,0,Plage Cyrnos
2023,MARIGNANE,BOUCHES-DU-RHÔNE,13,PROVENCE-ALPES-CÔTE D'AZUR,1,0,Plage du Jaï Nord
2023,MARSEILLE,BOUCHES-DU-RHÔNE,13,PROVENCE-ALPES-CÔTE D'AZUR,0,1,CNTL de Marseille
2023,PORT-DE-BOUC,BOUCHES-DU-RHÔNE,13,PROVENCE-ALPES-CÔTE D'AZUR,1,1,"Bottai, Bottai, Bottai, Bottai, Bottai, Bottai, Bottai, Bottai, Bottai, Bottai, Bottai, Bottai, Bottai, Bottai, Bottai, Bottai, Port de Plaisance de Port de Bouc"
