year,commune,department,region,type_of_flag,places
2021,OUISTREHAM,Calvados (14),Normandie,port,Bassin de plaisance de Ouistreham
2021,PAIMPOL,Côtes-d'Armor (22),Bretagne,port,Port de Plaisance de Paimpol
2021,PALAVAS LES FLOTS,Hérault (34),Occitanie,port,Port de Palavas les Flots
2021,PONT-A-MOUSSON,Meurthe-et-Moselle (54),Grand Est,port,Port de plaisance Michel ROTH
2021,PORT DE BOUC,Bouches-du-Rhône (13),Provence-Alpes-Côte d'Azur,port,Port de Plaisance de Port de Bouc
2021,PORT LEUCATE,Aude (11),Occitanie,port,Port de Leucate
2021,PORT SAINT LOUIS DU RHONE,Bouches-du-Rhône (13),Provence-Alpes-Côte d'Azur,port,Port de Plaisance de Port St Louis du Rhône
2021,PORT-LOUIS,Morbihan (56),Bretagne,port,Port-Louis
2021,PUNAAUIA,Polynésie Française (987),Collectivités d'Outre-Mer,port,Marina Taina
2021,REVIN,Ardennes (08),Grand Est,port,Halte Fluviale de Revin
2021,ROUEN,Seine-Maritime (76),Normandie,port,Port de plaisance de Rouen
2021,SAINT CYPRIEN,Pyrénées-Orientales (66),Occitanie,port,Port de Plaisance de Saint Cyprien
2021,SAINT CYR SUR MER,Var (83),Provence-Alpes-Côte d'Azur,port,"Nouveau Port des Lecques, Port de la Madrague, Vieux Port des Lecques de St Cyr/Mer"
2021,SAINT JEAN CAP FERRAT,Alpes-Maritimes (06),Provence-Alpes-Côte d'Azur,port,Saint Jean Cap Ferrat
2021,SAINT MARTIN LA GARENNE,Yvelines (78),Île-de-France,port,PORT ILON
2021,SAINT RAPHAEL,Var (83),Provence-Alpes-Côte d'Azur,port,"Port de Plaisance de Santa Lucia, Saint Raphaël Vieux Port"
2021,SAINT VALERY SUR SOMME,Somme (80),Hauts-de-France,port,Port de Plaisance de Saint Valery sur Somme
2021,SAINT-AMAND-LES-EAUX,Nord (59),Hauts-de-France,port,Port fluvial de La Porte du Hainaut
2021,SAINT-DENIS D OLERON,Charente-Maritime (17),Nouvelle-Aquitaine,port,Port de Saint Denis d'Oléron
2021,SAINT-FLORENT,Haute-Corse (2B),Corse,port,Port de Saint Florent
2021,SAINT-QUAY-PORTRIEUX,Côtes-d'Armor (22),Bretagne,port,Saint-Quay Port d'Armor
2021,SAINT-VAAST-LA-HOUGUE,Manche (50),Normandie,port,Port de Saint Vaast La Hougue
2021,SAINTE MAXIME,Var (83),Provence-Alpes-Côte d'Azur,port,port de Sainte Maxime
2021,SARREGUEMINES,Moselle (57),Grand Est,port,Port de Sarreguemines
2021,SAVERNE,Bas-Rhin (67),Grand Est,port,Port de Plaisance de Saverne
2021,SCIEZ,Haute-Savoie (74),Auvergne-Rhône-Alpes,port,Port de Sciez
2021,SIX FOURS LES PLAGES,Var (83),Provence-Alpes-Côte d'Azur,port,Port de La Coudoulière
2021,SIX FOURS LES PLAGES,Var (83),Provence-Alpes-Côte d'Azur,port,Port de Plaisance Saint-Pierre des Embiez
2021,SOLENZARA,Corse-du-Sud (2A),Corse,port,Port de Plaisance de Solenzara
2021,TALMONT SAINT HILAIRE,Vendée (85),Pays de la Loire,port,Port de Plaisance de Bourgenay
2021,THONON-LES-BAINS,Haute-Savoie (74),Auvergne-Rhône-Alpes,port,Port de plaisance de Rives
2021,TOUL,Meurthe-et-Moselle (54),Grand Est,port,Port de France
2021,TOULOUSE,Haute-Garonne (31),Occitanie,port,Port Saint Sauveur de Toulouse
2021,TREAUVILLE,Manche (50),Normandie,port,Port de Diélette
2021,VALENCE,Drôme (26),Auvergne-Rhône-Alpes,port,Port de l'Épervière
2021,VAUVERT,Gard (30),Occitanie,port,Gallician
2021,VELIZY VILLACOUBLAY,Alpes-Maritimes (06),Provence-Alpes-Côte d'Azur,port,Port de Marina Baie des Anges
2021,VENDRES,Hérault (34),Occitanie,port,Port départemental Vendres en Domitienne
2021,LE MARIN,Martinique (972),Martinique,port,Port de plaisance du Marin
