year,commune,department,region,type_of_flag,places
2022,Port Camille Rayon du Golfe Juan,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,port,Port Camille Rayon du Golfe Juan
2022,Port de Garavan,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,port,Port de Garavan
2022,Port de La Napoule,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,port,Port de La Napoule
2022,Port de plaisance de Cap d'Ail,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,port,Port de plaisance de Cap d'Ail
2022,Port Marina Baie des Anges,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,port,Port Marina Baie des Anges
2022,Port Pierre Canto (Cannes),Alpes-Maritimes,Provence-Alpes-Côte d'Azur,port,Port Pierre Canto (Cannes)
2022,Vieux Port de Menton,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,port,Vieux Port de Menton
2022,Halte fluviale de Revin,Ardennes,Grand Est,port,Halte fluviale de Revin
2022,Port de plaisance Intercommunal de Monthermé,Ardennes,Grand Est,port,Port de plaisance Intercommunal de Monthermé
2022,Port de Carcassonne,Aude,Occitanie,port,Port de Carcassonne
2022,Port de Castelnaudary,Aude,Occitanie,port,Port de Castelnaudary
2022,Port de plaisance de Gruissan,Aude,Occitanie,port,Port de plaisance de Gruissan
2022,Port de plaisance de Narbonne,Aude,Occitanie,port,Port de plaisance de Narbonne
2022,Port Leucate,Aude,Occitanie,port,Port Leucate
2022,Calanques de Port Miou,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,port,Calanques de Port Miou
2022,CNTL de Marseille,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,port,CNTL de Marseille
2022,Port de plaisance de Port de Bouc,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,port,Port de plaisance de Port de Bouc
2022,Port de plaisance de Port Saint Louis du Rhône,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,port,Port de plaisance de Port Saint Louis du Rhône
2022,Port Départemental de Cassis GTC,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,port,Port Départemental de Cassis GTC
2022,Port Saint Gervais de Fos sur Mer,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,port,Port Saint Gervais de Fos sur Mer
2022,Société Nautique de Marseille,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,port,Société Nautique de Marseille
2022,Port de Dives-Cabourg-Houlgate,Calvados,Normandie,port,Port de Dives-Cabourg-Houlgate
2022,Port de Saint Denis d'Oléron,Charente-Maritime,Nouvelle-Aquitaine,port,Port de Saint Denis d'Oléron
2022,Port de plaisance de Binic,Côtes-d'Armor,Bretagne,port,Port de plaisance de Binic
2022,Port de plaisance de Paimpol,Côtes-d'Armor,Bretagne,port,Port de plaisance de Paimpol
2022,Port de Saint Quay Portrieux,Côtes-d'Armor,Bretagne,port,Port de Saint Quay Portrieux
2022,Halte de Besançon Moulin Saint Paul,Doubs,Bourgogne-Franche-Comté,port,Halte de Besançon Moulin Saint Paul
2022,Halte fluviale de Deluz,Doubs,Bourgogne-Franche-Comté,port,Halte fluviale de Deluz
2022,Port de l'Epervière (Valence),Drôme,Auvergne-Rhône-Alpes,port,Port de l'Epervière (Valence)
2022,Port de plaisance de Douarnenez,Finistère,Bretagne,port,Port de plaisance de Douarnenez
2022,Port Manec'h,Finistère,Bretagne,port,Port Manec'h
2022,Bonifacio Marina,Corse-du-Sud,Corse,port,Bonifacio Marina
2022,Port Ajaccio Tino Rossi,Corse-du-Sud,Corse,port,Port Ajaccio Tino Rossi
2022,Port de Saint Florent,Haute-Corse,Corse,port,Port de Saint Florent
